Address,Sale_price,Monthly_maintenance_fee,AMI_max,No_of_bedrooms,lon,lat
"226 West 111st Street, 8, New York, NY 10026",595000,740,120,3,-73.9565781,40.8005857
"102 Bradhurst Avenue, 1008, New York, NY 10039",599000,1445,165,2,-73.9418044,40.8244682
"80 Saint Nicholas Avenue, 7G, New York, NY 10026",599000,833,165,3,-73.9521698,40.8015781
"54 East 129th Street, 6B, New York, NY 10035",600000,759,120,4,-73.938228,40.807789
"74 Richardson Street, 6, Brooklyn, NY 11211",600000,750,165,0,-73.9492464,40.7182939
"775 Lafayette Avenue, 4B, Brooklyn, NY 11221",614888,654,145,2,-73.9418745,40.6912661
"209 Avenue A, 2C, New York, NY 10009",619000,405,165,2,-73.981173,40.7297335
"1580 Amsterdam Avenue, 23, New York, NY 10031",649999,966,140,3,-73.9509758,40.821224
"130 Lenox Avenue, 402, New York, NY 10026",659000,1778,235,3,-73.9494559,40.8023312
"100 West 121st Street, 64, New York, NY 10027",675000,597,165,3,-73.9478167,40.8052883
"35 Mt Morris Park West, 3B, New York, NY 10027",675000,830,140,2,-73.9446611,40.8062346
"364 West 121st Street, 4A, New York, NY 10027",679000,574,165,3,-73.9556428,40.8085825
"400 Convent Avenue, 52, New York, NY 10031",685000,1023,120,3,-73.9453319,40.8261444
"609 Columbus Avenue, 18B, New York, NY 10024",691857,956,165,2,-73.9700091,40.7887084
"609 Columbus Avenue, 18L, New York, NY 10024",691857,956,165,2,-73.9700091,40.7887084
"609 Columbus Avenue, 8L, New York, NY 10024",692315,950,165,2,-73.9700091,40.7887084
"609 Columbus Avenue, 10C, New York, NY 10024",692315,950,165,2,-73.9700091,40.7887084
"609 Columbus Avenue, 4P, New York, NY 10024",693480,945,165,2,-73.9700091,40.7887084
"81 South 9th Street, 1, Brooklyn, NY, 11249",699000,964,120,2,-73.9660602,40.7091032
"229 East 14th Street, 5W, New York, NY 10003",699995,579,55,1,-73.9858654,40.7329326
"309 East Houston Street, 1A, New York, NY 10002",700000,554,193,2,-73.983485,40.7210973
"229 East 14th Street, 3E, New York, NY 10003",715000,579,54,3,-73.9858654,40.7329326
"626 East 9th Street, 2F, New York, NY 10009",775000,800,165,3,-73.9792295,40.7256636
